	BrM1	BrM2	BrM3	BrM4	BrM5	BrM6	BrM7	BrM8	BrM9	BrM10	LT1	LT2	LT3	LT4	LT5	LT6	LT7	LT8	LT9	LT10
ZNF19295	3	0	12	10	3	6	3	10	2	1	10	4	2	11	4	4	5	3	8	18
HLA4993	8	12	10	20	14	0	9	8	13	7	29	7	7	3	9	13	10	5	6	25
HLA12516	5	0	2	13	14	30	8	4	11	10	4	7	26	16	9	8	12	9	11	15
TP916	9	9	16	16	4	13	6	5	6	11	6	30	11	32	22	9	15	24	8	27
MT66346	22	26	10	10	1	13	21	35	22	15	23	18	5	14	9	13	21	8	13	4
BRCA88200	7	8	19	10	18	44	36	12	26	9	7	17	6	4	21	3	8	20	4	18
ZNF19190	7	5	4	7	1	11	1	6	4	2	9	1	15	4	12	2	3	2	5	8
MT59786	5	6	0	11	4	3	1	1	14	1	0	7	4	0	2	7	7	2	3	4
HLA78744	15	1	38	45	35	30	26	1	8	22	26	17	18	20	22	15	19	36	22	25
MAPK91018	31	40	82	43	6	44	2	68	6	62	24	43	14	6	69	16	47	16	15	52
TNF53970	2	10	10	4	3	2	5	2	3	4	1	2	8	0	8	1	5	0	5	1
EGFR1652	27	1	4	36	28	31	17	14	16	17	16	21	12	13	39	37	30	14	6	37
TP25319	0	8	4	6	1	3	9	3	10	3	10	9	1	5	9	0	3	16	6	4
CD77045	59	18	5	16	25	30	13	18	66	84	48	36	30	23	23	24	55	6	50	9
MYC20520	3	0	9	14	33	5	3	11	4	1	3	10	0	20	9	14	18	10	9	19
MAPK3748	100	12	57	70	139	97	62	55	138	65	54	24	57	70	51	17	27	49	77	41
TP14946	1	1	9	8	18	5	11	9	8	3	6	13	3	5	10	5	2	10	3	12
IL47915	61	55	25	208	53	350	77	94	71	29	54	44	41	131	69	63	165	56	210	119
BRCA83319	13	9	7	2	17	5	2	5	5	7	8	5	31	4	7	11	4	4	2	5
CD89227	6	6	5	1	1	1	7	2	11	2	2	4	2	0	5	5	0	2	7	4
TP41679	13	11	15	3	21	3	7	8	7	8	18	26	7	19	10	20	6	79	11	2
KRT70449	0	4	5	8	3	9	7	5	4	4	6	5	6	8	0	6	11	13	7	2
BRCA53214	1	1	3	1	5	4	3	13	11	0	4	6	3	6	2	9	8	7	2	7
TP56848	4	1	2	0	3	6	5	3	10	2	4	10	3	3	4	12	7	8	2	17
IL72241	34	28	14	28	26	17	11	8	42	53	39	16	55	61	18	12	40	18	17	42
TP67225	16	22	10	9	8	40	88	134	12	33	58	102	42	47	84	98	44	111	25	22
IL46287	5	15	14	4	18	31	7	14	2	10	37	4	6	14	16	29	12	39	6	6
MAPK29745	7	14	15	33	17	26	16	51	33	37	19	21	47	22	49	54	47	19	12	14
GPR50086	38	33	34	23	47	65	7	5	1	15	57	30	31	25	44	50	36	9	18	22
TNF14732	10	0	1	10	6	4	8	9	3	2	1	4	8	2	2	2	1	0	5	4
TP80610	3	2	2	1	0	6	1	1	3	5	2	6	8	2	2	1	0	0	2	0
ZNF52398	36	13	42	5	8	22	55	13	8	6	7	12	8	46	17	27	25	19	13	46
ZNF59122	0	7	17	10	23	13	5	14	2	7	3	10	7	13	6	8	9	4	12	2
KRT51627	13	15	21	12	1	3	9	28	38	11	34	26	12	18	31	42	13	24	26	28
SLC21220	26	24	31	35	42	16	32	10	26	51	22	11	2	17	14	22	37	43	21	42
SLC77523	5	7	1	8	4	3	10	3	9	20	3	1	6	6	13	0	0	0	6	7
SLC29633	15	49	32	5	13	22	9	30	13	14	7	16	11	32	22	12	25	21	13	28
BRCA24123	8	14	0	27	1	16	9	15	17	14	2	6	32	6	6	8	10	10	8	8
ZNF90109	14	7	7	6	8	4	34	14	10	3	3	7	2	17	13	9	3	8	3	6
SLC88788	5	3	4	1	1	2	0	10	1	1	2	6	6	2	1	7	2	0	2	4
BRCA29074	9	6	4	22	7	3	10	2	4	8	5	10	12	10	8	12	10	6	3	18
BRCA95477	0	4	4	2	2	3	0	4	0	3	1	2	2	1	2	2	5	0	0	2
KRT92914	0	7	10	5	5	13	4	3	1	6	7	0	1	6	6	6	1	0	2	4
MAPK19957	24	15	2	13	2	17	15	10	0	2	8	6	14	12	7	10	5	10	3	13
GPR99565	6	5	2	2	5	0	1	3	2	0	6	2	4	4	1	0	2	4	1	0
MAPK37728	75	25	45	8	77	27	42	21	41	44	31	59	31	39	37	17	8	113	53	41
TP40753	32	41	23	27	23	64	38	15	7	22	5	24	2	18	5	16	24	6	10	22
MT9985	2	1	3	2	3	3	2	0	1	12	10	1	8	1	5	3	7	5	0	2
KRT38374	78	23	27	21	24	24	39	42	5	55	34	40	17	40	18	62	32	41	19	32
TNF58656	25	16	17	13	17	19	37	6	9	17	17	14	41	11	26	16	67	14	22	48
EGFR5585	110	159	42	51	43	27	83	49	28	25	9	15	52	17	27	151	30	46	16	22
KRT92260	2	3	3	2	1	3	2	4	8	1	4	2	5	3	1	10	8	12	1	2
MAPK43381	14	42	28	22	8	4	32	43	27	26	14	4	17	14	8	21	7	17	3	13
CXCL48863	0	13	8	6	7	1	4	4	3	5	9	9	1	3	1	2	1	1	8	3
MAPK56557	0	1	0	1	2	3	0	2	0	0	0	3	1	0	3	0	0	3	0	0
GPR41695	4	5	5	6	3	5	7	10	14	23	3	6	4	2	5	5	14	5	7	3
CXCL23735	13	2	14	9	8	5	5	2	2	9	1	10	4	12	9	17	9	7	4	29
EGFR83254	6	6	4	7	3	5	4	12	8	4	4	11	4	4	2	5	7	2	1	2
KRT3734	21	6	30	8	0	13	19	0	5	17	26	10	14	4	13	7	12	34	42	15
ZNF46144	3	22	6	2	6	15	7	33	28	3	14	9	11	10	7	18	18	16	28	0
CD55928	1	1	0	0	2	0	4	1	2	3	2	2	2	1	0	1	0	3	1	1
SLC83564	15	9	18	7	5	9	9	12	13	18	9	13	12	13	4	19	18	15	21	5
ZNF4475	32	8	35	60	13	23	23	30	9	82	31	48	17	17	87	14	73	66	43	30
EGFR92323	19	13	24	16	15	32	22	3	29	11	21	6	34	11	6	10	43	3	13	6
CD45575	37	12	15	23	13	12	39	39	10	10	26	28	26	27	34	45	23	54	38	7
CD15372	29	27	52	47	35	56	47	48	45	22	7	49	45	42	12	41	10	81	18	8
KRT86862	1	3	6	2	2	0	3	0	0	3	3	0	5	1	5	3	0	7	5	0
SLC35936	29	9	28	11	6	16	31	33	34	8	30	15	27	7	24	20	7	22	12	4
IL19648	5	2	10	3	4	4	4	0	10	5	3	5	1	2	3	10	0	5	8	1
MYC98394	9	22	15	15	20	6	16	0	9	12	0	10	6	8	4	1	2	5	5	32
MT71554	1	3	4	3	0	5	8	2	2	6	3	10	4	5	7	5	1	6	9	2
MYC5787	0	3	5	5	6	1	1	1	2	0	0	1	0	0	4	6	1	3	8	1
MT33822	17	63	34	22	59	38	26	99	24	94	7	2	50	42	70	64	51	95	20	40
TNF41225	8	4	15	9	14	56	41	23	19	25	5	15	16	36	8	42	5	8	1	19
CD45115	7	5	19	7	3	28	31	29	27	14	3	18	23	7	28	5	27	8	4	23
GPR27408	22	24	43	27	45	48	11	10	4	37	20	7	17	41	25	47	6	33	22	30
MT33310	3	7	9	10	5	5	0	10	10	21	10	8	5	1	9	2	2	9	6	3
CD48003	0	4	3	2	5	1	3	0	1	3	3	2	3	2	0	1	0	1	1	1
EGFR48513	6	17	23	26	13	15	27	7	7	29	17	29	22	40	13	9	12	28	34	52
EGFR64688	4	4	4	3	0	3	0	0	0	2	3	1	0	0	0	4	0	0	1	0
HLA85468	4	4	11	6	8	8	8	4	2	6	16	30	12	8	10	15	3	20	6	12
BRCA64895	8	8	4	6	1	6	14	4	11	3	6	1	12	1	6	7	5	0	1	1
IL84400	6	23	5	6	8	7	16	20	9	19	6	19	31	10	4	4	9	11	7	0
BRCA42940	2	2	2	8	9	1	13	9	0	19	11	6	6	3	5	3	0	20	11	4
CD15687	9	3	1	7	3	8	6	4	16	9	0	9	4	4	7	2	4	1	2	9
GPR55647	23	10	10	17	14	17	15	31	35	2	17	30	35	14	11	21	2	7	2	2
MYC36409	2	3	12	4	2	0	4	13	15	3	0	4	3	3	10	5	7	1	2	0
IL64829	5	4	3	6	6	6	6	1	5	12	6	7	8	6	4	1	8	4	3	7
ZNF90840	1	5	1	1	8	1	1	3	4	1	7	1	6	4	0	1	3	4	8	7
GPR99672	0	2	0	0	0	0	0	1	2	1	0	0	0	3	0	0	0	0	1	0
GPR80053	1	15	19	3	5	6	5	6	7	3	4	4	3	5	2	15	11	3	12	21
TNF23501	15	28	41	45	30	25	7	56	12	27	22	38	28	16	22	5	39	57	17	15
SLC38961	1	4	9	13	17	29	4	4	6	7	12	0	8	6	5	6	11	10	15	16
CD31043	88	150	73	63	103	133	177	66	68	63	7	54	97	89	114	84	36	115	40	29
EGFR20361	16	15	8	3	18	8	6	6	14	16	23	2	13	12	16	19	14	17	11	8
BRCA94109	31	16	7	4	9	14	7	6	3	10	5	6	2	17	13	5	2	11	8	2
CXCL25831	31	41	12	6	27	9	17	7	8	8	9	19	8	40	1	18	7	10	29	21
CD25342	10	16	16	11	19	29	13	21	20	15	12	20	21	8	2	8	2	4	13	7
MAPK53939	22	15	18	3	10	4	13	5	7	34	12	24	6	12	13	6	3	1	4	18
GPR88128	4	11	2	10	4	15	9	16	22	7	13	19	22	12	45	8	27	5	9	8
ZNF53044	309	126	112	15	78	57	100	76	25	189	74	58	46	180	79	52	236	36	153	117
TNF68071	17	10	21	19	40	30	27	41	21	6	4	17	57	26	42	40	4	20	22	37
EGFR54123	20	9	28	17	4	11	4	13	4	8	4	12	16	18	0	18	8	3	19	5
BRCA98674	106	64	14	72	24	26	21	52	102	40	24	46	14	62	136	50	13	61	85	67
MAPK52394	24	16	21	6	9	26	23	17	43	26	8	13	11	9	3	26	23	14	11	41
SLC80190	3	4	4	13	7	7	9	9	10	16	9	3	5	4	5	6	8	3	3	1
IL25363	0	2	5	2	1	2	10	0	5	2	0	7	4	3	2	1	4	7	6	3
KRT17979	6	13	7	4	12	7	7	7	1	11	10	6	4	7	7	3	6	1	1	2
MAPK13659	14	20	13	61	14	11	12	9	24	20	23	26	5	12	22	78	13	10	60	22
MT30353	124	36	8	11	67	46	23	47	31	63	48	17	68	81	94	13	47	46	81	25
CXCL83808	35	5	29	13	20	18	48	21	32	43	32	19	28	16	18	37	16	39	82	18
MAPK69012	8	5	2	12	30	7	0	18	10	6	13	7	12	13	4	21	6	10	9	11
MYC56718	11	24	10	10	17	26	8	25	1	7	22	20	6	45	28	7	42	18	15	10
CD86053	0	1	12	9	1	11	2	6	18	8	5	11	16	10	7	3	5	7	16	11
KRT23342	3	5	8	29	12	19	2	10	17	13	16	8	9	22	18	48	24	10	5	35
TNF39889	8	6	3	1	8	7	2	5	13	18	7	5	9	13	19	7	3	8	9	5
MAPK51332	3	4	38	36	24	23	10	29	14	3	11	6	12	10	23	29	7	10	24	24
TP16290	11	2	15	3	8	9	2	8	10	16	14	9	10	8	6	13	14	6	12	5
IL17974	12	27	14	9	13	24	7	2	0	10	16	7	18	3	14	27	15	12	10	18
MAPK11973	10	12	48	6	21	32	43	28	10	22	43	16	7	0	14	4	35	6	15	21
MYC52870	10	26	12	8	29	6	14	33	9	30	21	6	8	0	20	21	23	3	10	16
IL3142	19	4	37	9	22	14	53	12	21	47	35	25	7	13	13	5	14	36	8	9
EGFR20771	36	11	53	46	53	22	43	0	9	31	17	43	28	23	34	24	51	3	20	19
KRT25635	4	1	1	0	1	5	1	4	7	2	0	4	1	4	12	2	3	2	1	6
MAPK95966	1	4	6	2	0	12	2	6	0	5	6	9	6	1	1	1	4	0	5	7
CD66973	11	5	13	4	7	8	3	12	8	14	6	20	5	16	32	17	10	20	21	27
EGFR24107	39	35	7	40	6	35	27	27	25	4	26	10	24	7	17	5	37	24	27	27
MT6899	2	10	3	8	2	6	11	2	3	2	0	5	3	4	5	5	1	5	1	6
TNF20605	14	10	19	3	32	33	31	3	8	5	11	3	9	14	14	8	5	4	6	7
TP73877	7	22	11	13	11	19	14	17	3	16	23	24	27	19	0	14	18	54	9	3
TNF92311	7	12	22	9	23	11	2	8	27	11	9	6	10	27	34	8	6	8	9	2
ZNF8018	6	7	1	2	14	10	8	4	6	6	10	1	17	6	5	6	3	1	9	5
MT95755	3	0	6	5	8	6	0	8	8	3	7	1	8	5	5	2	3	1	1	5
ZNF37176	13	7	5	10	14	11	19	12	11	9	5	4	6	1	4	10	6	3	6	10
TNF57543	10	12	21	9	10	12	2	7	22	25	7	7	13	3	6	14	11	6	3	10
ZNF82153	30	34	31	13	14	3	25	10	29	7	28	21	3	15	25	22	13	32	15	6
GPR66237	5	4	2	6	6	8	5	5	0	3	10	3	1	4	3	2	1	8	0	1
GPR83713	11	5	14	5	26	3	1	5	6	6	0	6	7	1	4	13	5	20	13	12
IL909	8	1	1	0	1	1	3	0	2	0	2	1	3	1	5	3	3	5	5	0
BRCA64163	67	9	5	12	10	15	26	28	5	17	12	9	23	30	3	11	19	4	35	51
HLA27348	19	54	8	18	7	7	4	50	40	25	12	17	10	26	11	26	5	10	11	14
BRCA55718	72	20	23	17	8	29	17	35	30	30	14	23	19	3	19	11	26	25	5	12
ZNF88697	12	19	5	19	32	33	38	28	20	75	18	45	57	34	32	8	40	41	17	5
CD5486	162	58	25	84	74	94	117	61	157	36	122	100	104	40	64	32	130	62	16	78
MAPK77858	2	2	0	6	3	6	0	1	8	1	9	0	6	3	6	14	8	1	5	7
MYC98680	21	13	22	18	23	6	16	27	13	10	40	43	24	7	19	37	11	14	11	18
TP13183	7	11	13	5	10	1	8	1	1	12	2	10	11	14	2	19	7	13	13	4
HLA59333	8	12	4	4	5	2	6	13	25	3	14	5	10	9	4	9	12	4	5	6
CXCL64868	33	33	12	11	27	11	9	12	28	9	14	12	12	7	17	22	18	19	14	28
BRCA29069	3	2	5	21	4	1	11	12	1	3	2	1	0	7	7	4	7	3	4	1
GPR63366	14	30	77	73	17	18	21	83	6	32	13	25	76	22	18	34	9	56	41	27
MT49315	11	16	4	7	5	8	9	11	4	20	7	1	5	6	0	3	5	2	3	2
TP23525	17	33	16	26	20	29	17	34	12	10	8	36	33	12	30	21	33	11	26	20
CD49803	25	23	14	10	4	1	12	34	8	25	36	8	24	29	11	28	11	9	16	28
HLA55466	19	45	57	3	34	62	31	7	20	11	55	41	11	55	14	59	18	40	44	34
HLA59138	22	3	8	50	4	33	4	71	7	33	34	5	24	25	29	53	61	9	29	39
CD40557	2	16	11	3	6	4	3	3	9	4	6	23	3	6	5	10	9	3	3	1
BRCA65842	101	62	13	57	23	32	51	53	127	56	25	84	81	67	58	31	75	28	44	27
MYC29685	22	26	37	33	7	9	18	19	4	5	5	25	6	72	8	33	15	48	20	20
TP52638	5	8	15	6	10	12	7	14	12	3	7	18	26	5	12	30	21	10	5	15
BRCA7199	23	7	11	13	9	24	5	7	19	11	19	11	15	4	14	25	21	10	7	3
MAPK90325	71	9	9	40	35	17	23	35	47	5	44	48	9	9	28	5	50	10	14	47
CD877	1	6	1	2	15	6	11	4	3	2	18	3	6	2	24	10	10	7	7	11
HLA58645	12	4	6	2	3	3	5	2	9	15	4	13	6	2	5	5	5	10	6	8
CXCL53580	4	13	10	10	0	8	0	2	10	6	7	1	4	0	0	25	15	16	8	3
MT52661	26	18	20	36	23	46	6	33	8	47	13	72	32	18	66	61	24	75	50	64
MAPK87586	14	15	3	1	7	10	25	14	3	19	16	4	18	6	4	14	10	6	2	4
TNF77536	19	17	66	25	63	11	32	15	35	35	16	31	35	67	4	27	49	77	43	35
CD85401	6	11	3	4	10	15	12	13	3	2	12	11	6	4	1	22	8	25	7	1
MYC14458	1	1	6	12	0	2	10	13	6	6	2	3	0	8	4	0	1	4	0	8
CXCL88254	84	15	199	55	92	33	37	53	49	23	52	24	7	41	37	17	42	21	33	69
IL80432	13	6	0	8	11	5	3	13	4	1	5	5	2	10	2	2	0	7	8	4
CXCL33644	15	7	13	6	2	2	4	7	2	8	0	6	8	5	2	2	3	7	1	3
MAPK6822	5	7	10	3	17	18	12	1	5	11	8	3	2	3	11	0	7	2	9	3
EGFR56007	2	0	0	1	2	7	2	0	2	5	2	3	3	1	4	7	2	7	1	5
GPR76064	2	6	6	3	6	0	7	7	4	0	9	7	3	15	6	8	5	3	10	1
CD30349	48	24	37	123	12	30	46	38	59	42	31	44	12	59	75	67	32	57	78	61
SLC98088	3	9	10	0	6	4	9	7	6	2	7	5	6	12	5	2	6	1	3	6
IL61224	4	4	1	5	4	5	14	2	7	5	6	4	5	4	3	3	2	4	7	2
BRCA78425	8	45	29	8	34	36	22	13	48	21	21	6	2	4	25	20	21	24	22	44
TP77895	16	16	1	4	4	12	6	4	20	19	9	7	8	1	16	5	1	10	14	18
TNF18280	59	29	2	144	48	20	25	22	29	15	22	48	38	38	12	9	6	34	33	47
IL96681	16	10	44	27	10	34	8	16	8	31	10	12	43	40	12	15	1	59	3	10
TP38723	5	11	0	9	11	0	2	7	6	3	4	8	4	22	9	13	7	1	4	10
GPR32241	10	10	2	5	3	4	3	2	1	0	1	1	9	1	1	0	3	3	3	2
ZNF23005	32	33	24	27	42	78	15	29	12	74	19	30	33	9	20	16	1	23	27	7
SLC41179	4	6	1	6	2	4	25	7	9	3	2	12	17	5	8	5	2	8	7	5
GPR90169	23	22	62	25	55	49	34	25	33	35	23	42	30	23	35	5	44	9	32	53
SLC94575	7	3	8	7	8	6	10	12	19	24	8	4	4	9	9	8	2	12	6	16
KRT35190	1	2	3	4	0	2	3	4	1	1	3	5	2	0	3	0	2	0	1	0
CD44906	0	6	2	4	14	6	0	8	5	0	4	3	9	5	17	9	1	8	2	7
ZNF32497	124	51	113	58	136	85	185	132	231	65	47	88	62	122	145	42	43	84	41	16
CD82487	4	2	21	1	3	0	1	13	11	3	4	0	7	6	1	6	10	6	3	5
GPR16343	17	12	20	17	5	2	8	8	5	1	6	16	3	6	10	8	5	11	15	14
HLA2506	7	9	6	17	6	8	4	2	3	3	12	8	2	3	1	9	13	2	1	3
GPR93995	6	10	8	3	12	0	6	9	3	6	13	6	10	7	34	28	1	23	11	3
MYC73398	2	3	1	15	4	7	4	2	6	3	4	3	2	2	9	1	0	2	2	3
SLC11873	1	9	17	17	16	7	11	25	8	3	4	4	7	19	6	13	19	6	5	4
HLA86244	1	1	1	2	7	0	5	5	2	1	3	2	1	1	0	4	0	7	6	2
CXCL30545	3	1	1	2	0	1	2	1	0	1	1	3	3	0	1	2	0	2	4	2
TP47185	39	37	35	21	33	13	42	47	17	28	13	18	80	54	78	57	58	26	8	57
ZNF78975	4	0	2	2	1	2	1	8	4	0	0	0	1	2	1	3	3	2	2	3
HLA17070	15	8	8	9	7	31	25	7	11	14	9	8	11	6	16	5	3	8	1	1
IL47903	27	21	14	3	8	24	18	23	25	31	9	3	17	17	2	6	20	4	13	11
HLA30360	34	44	20	15	8	23	14	49	41	24	16	33	22	22	3	61	38	27	8	7
CD9327	3	17	10	7	13	2	2	10	3	2	9	10	12	5	5	2	7	1	5	3
CD56014	1	2	1	1	1	2	3	4	3	3	3	0	2	7	4	1	1	3	1	12
CD12305	13	33	21	16	4	3	26	14	17	37	13	32	20	18	30	6	8	15	19	25
KRT996	12	10	10	23	8	10	31	4	4	17	18	7	5	16	30	26	23	9	3	5
EGFR12180	161	124	723	118	101	203	68	197	75	7	123	345	138	141	183	101	101	60	37	138
CD94421	65	93	39	12	37	32	48	96	21	59	20	51	38	51	71	33	63	32	12	63
MT44012	78	33	63	23	15	91	24	60	35	68	76	22	132	48	7	67	26	32	32	24
ZNF25803	1	14	23	1	4	3	7	2	2	10	0	4	3	3	7	3	0	5	12	18
CD67503	0	1	2	3	3	1	1	0	0	2	1	0	7	1	1	1	0	2	0	4
EGFR32347	30	14	16	10	24	7	40	33	14	24	33	13	40	31	68	28	47	22	11	25
EGFR1545	3	5	21	3	30	24	0	9	8	2	4	4	29	1	10	0	11	6	8	3
TNF44375	6	0	7	24	9	7	11	9	10	4	5	8	3	8	7	14	14	3	8	1
CXCL55951	12	13	25	25	18	4	13	22	3	5	4	9	19	1	8	29	5	7	11	5
KRT50966	4	4	4	6	1	3	1	1	1	8	2	0	2	6	2	1	1	2	3	1
BRCA52097	10	5	13	18	18	12	4	9	7	14	11	7	10	8	6	2	8	9	17	4
TNF40854	9	1	2	24	7	25	5	2	10	14	3	11	3	5	23	5	4	13	11	5
MAPK46352	1	1	4	2	0	8	12	1	1	4	5	3	4	3	1	2	5	3	8	4
MYC71336	13	17	14	15	22	9	13	21	6	58	8	9	52	11	14	2	21	33	16	21
SLC85669	21	17	16	3	11	2	30	8	10	4	11	6	3	9	12	9	1	13	17	2
MT28517	5	20	2	9	12	16	5	3	9	10	7	27	6	4	9	9	7	8	5	24
GPR57529	26	11	8	16	5	32	6	13	12	1	25	6	5	2	6	6	1	4	13	19
GPR82710	2	7	9	21	3	1	12	4	7	11	3	5	8	10	13	10	1	4	1	12
SLC1508	111	50	116	254	222	182	55	58	17	150	135	161	28	120	71	42	14	142	55	38
MT42752	80	24	53	99	69	80	57	93	11	66	91	38	82	85	53	118	119	73	42	47
MYC45504	0	0	1	1	2	0	2	4	0	1	0	1	3	0	0	0	1	1	1	0
SLC15839	7	15	24	20	23	35	59	61	12	36	15	13	26	19	48	4	13	4	38	48
MT1967	20	12	14	11	7	15	2	31	18	7	7	6	3	13	1	11	5	31	22	18
KRT94841	55	83	23	17	21	54	39	23	76	73	54	80	104	86	153	55	71	54	48	80
IL42960	43	13	40	32	42	22	15	25	49	18	6	39	10	31	35	25	28	33	14	24
GPR93682	10	4	4	7	12	1	0	8	25	16	14	1	6	3	9	3	7	13	3	17
BRCA36625	77	89	19	45	236	59	42	47	10	111	144	60	24	91	29	132	84	102	40	161
HLA89903	9	2	5	3	8	2	4	1	10	6	7	12	8	4	15	12	7	4	3	9
CXCL74473	14	54	9	14	25	25	8	35	30	21	63	30	30	42	28	19	11	32	18	22
EGFR32963	13	2	6	1	3	1	8	2	3	1	6	2	9	1	9	3	11	6	8	3
HLA248	52	5	28	4	2	3	15	20	27	1	10	16	31	10	18	17	33	20	10	18
MT32899	15	15	10	36	28	23	13	23	5	2	65	40	77	11	5	18	6	22	42	42
GPR64112	48	31	62	59	41	45	16	98	36	59	24	85	26	87	16	10	57	21	33	31
CXCL20214	2	6	4	1	4	7	3	2	10	2	6	8	1	12	5	16	7	12	0	6
MYC80147	14	4	5	17	22	12	9	10	1	1	7	10	1	18	15	22	0	4	12	18
SLC32915	24	40	36	36	32	31	40	34	47	82	22	30	94	18	71	23	86	83	17	37
CD34751	4	19	19	24	8	9	16	11	18	5	8	17	14	23	9	21	10	16	2	3
BRCA63809	5	2	4	0	1	1	1	2	1	0	8	1	4	3	2	1	1	0	3	2
BRCA65746	8	6	3	6	2	4	2	6	7	0	4	7	0	6	4	2	5	4	7	10
HLA53814	32	22	26	3	5	7	1	22	19	24	18	8	18	19	8	10	8	24	34	7
HLA18745	7	10	7	52	26	18	14	16	8	23	6	17	5	34	19	18	3	1	25	6
TNF23904	6	5	13	1	5	5	6	11	3	2	1	6	3	2	3	2	6	3	1	6
CXCL27117	4	7	4	6	2	3	1	3	11	9	11	2	7	3	0	2	3	6	8	8
ZNF21906	22	46	33	21	65	58	110	3	58	70	38	26	25	52	26	97	84	16	37	16
CD6481	13	1	58	27	6	9	18	8	51	13	31	76	10	31	16	10	9	23	9	37
HLA70059	14	45	25	24	5	59	78	1	25	28	6	21	5	20	2	7	25	28	33	20
SLC78831	27	30	19	20	63	22	16	13	26	26	41	26	27	71	8	82	32	64	75	24
SLC26048	9	12	5	23	3	12	6	16	12	14	4	19	9	12	5	35	8	18	16	2
TP20407	4	28	10	4	7	4	9	3	2	2	14	17	1	9	25	9	2	5	14	4
IL4695	28	22	6	41	24	11	8	30	45	5	29	47	17	5	3	19	29	20	12	22
CD76175	9	14	3	3	1	3	17	1	7	19	4	2	4	4	1	7	4	8	11	1
TNF85931	9	6	5	5	1	3	11	3	3	0	12	1	1	0	6	5	1	6	2	0
IL58100	5	4	9	22	24	3	15	6	9	4	26	7	8	2	7	2	8	13	9	4
SLC94763	0	0	0	3	0	1	1	2	1	4	2	1	2	2	0	3	0	2	2	0
HLA21086	4	2	4	1	1	0	6	3	3	1	8	8	10	1	4	4	1	5	0	4
GPR98958	0	4	7	15	3	9	8	4	1	8	22	3	11	1	11	3	12	5	5	5
CXCL12511	0	5	2	2	0	2	2	0	2	1	1	0	3	1	3	3	3	0	0	2
SLC44506	1	18	4	10	33	7	19	4	7	9	13	18	15	15	10	25	46	29	19	16
TNF34173	1	3	5	3	0	3	4	1	2	6	6	10	3	7	2	8	6	8	4	4
MAPK1474	2	4	21	11	12	12	5	10	22	18	3	17	2	16	8	7	18	42	7	10
EGFR84932	9	4	5	13	15	2	5	6	2	11	15	22	4	3	5	19	2	10	4	19
MYC57773	12	2	1	35	21	6	12	16	22	2	32	53	30	15	24	10	13	17	9	12
TP34482	0	0	2	1	0	1	7	6	0	2	8	4	8	5	0	1	2	2	0	5
TNF25055	4	10	0	7	15	2	3	13	5	15	0	2	5	9	2	10	12	5	3	2
GPR78694	96	42	11	4	31	27	29	58	36	19	20	57	75	79	36	77	55	18	51	16
SLC6658	5	8	8	0	8	17	14	19	28	13	5	25	4	8	10	26	21	16	28	17
MYC24004	1	25	1	15	37	31	16	6	35	11	4	27	26	18	15	18	14	4	16	48
MYC71332	13	10	21	5	2	10	6	16	17	27	8	15	6	8	25	7	14	4	5	39
EGFR98626	20	16	6	21	0	10	21	6	5	7	7	8	6	3	17	12	13	11	6	10
HLA51670	2	23	12	2	4	3	3	10	4	1	7	1	9	14	7	1	8	11	1	12
MT38415	8	5	11	2	0	3	9	14	3	7	0	3	3	4	5	8	5	3	2	2
CD3414	2	9	11	0	2	7	7	5	0	4	8	0	6	4	8	8	6	11	8	9
MT82183	9	3	0	2	1	4	4	1	9	1	0	0	2	2	3	4	5	3	2	1
BRCA99664	10	1	10	4	1	3	3	12	2	6	2	3	2	9	10	18	9	8	4	0
ZNF25896	1	5	1	2	1	4	4	2	1	0	6	1	3	2	1	5	2	1	0	0
ZNF91664	22	5	24	58	35	55	18	27	30	35	42	23	6	12	14	9	15	36	24	10
EGFR81646	8	5	1	3	14	6	4	5	3	12	2	1	14	4	1	4	5	4	6	5
IL18785	8	23	42	17	10	13	10	38	20	9	9	2	16	32	4	11	11	5	4	17
MAPK25707	8	5	9	22	5	13	30	7	5	25	20	11	3	5	11	8	12	7	13	0
SLC39074	2	2	4	3	3	3	4	11	13	1	3	7	8	2	0	2	1	14	5	5
CD58765	6	26	40	24	12	33	7	27	14	16	17	33	23	27	2	6	6	13	37	27
CD25098	13	6	3	4	1	15	7	11	0	17	4	13	8	8	9	7	19	14	6	24
CXCL23402	9	1	10	8	34	17	5	22	8	2	5	16	5	16	2	12	7	4	15	5
TP63555	33	17	1	3	19	25	16	33	33	17	19	37	23	41	3	19	25	16	21	12
EGFR57757	9	2	2	5	23	10	28	9	2	8	12	14	11	3	23	3	26	4	10	11
CXCL54519	15	13	22	55	63	12	66	10	28	42	19	53	39	39	60	5	51	27	63	16
KRT46441	2	36	8	17	6	40	4	2	22	19	18	5	19	9	2	3	1	15	39	1
CXCL5321	104	45	66	132	81	69	47	52	239	97	143	71	28	77	13	39	15	60	54	77
CXCL66036	29	4	23	2	16	16	20	22	11	0	7	29	25	7	14	21	7	44	8	21
MYC74014	68	57	23	27	37	40	54	14	55	36	59	64	66	49	33	38	9	61	44	19
BRCA41293	35	21	43	8	11	19	22	14	25	43	12	15	8	2	5	23	29	26	19	12
TNF94627	6	4	15	17	4	17	13	5	10	16	5	15	2	13	7	4	4	11	5	11
MT47857	17	9	13	29	14	19	3	35	15	15	9	17	1	6	3	25	1	3	7	12
